,Coordenadas_inicio,Coordenadas_fin,Minutos,Nombre_inicio,Nombre_fin
3199,"[39.51924720224958, -0.4086460950773127]","[39.50686011034074, -0.43903066910896943]",15.836771771771772,"Calle Mayor, Godella","Calle Maestro Ramón Ramia Querol, Paterna"
3200,"[39.477438628623965, -0.39140031045089485]","[39.529711149673076, -0.3842920549355275]",20.96621621621621,"Circuit 5K Jardí del Túria, Extramurs, València","Carrer de Palma de Gandia, Pobles del Nord, València"
3201,"[39.475100819225275, -0.38824694463822806]","[39.46310800535233, -0.3563519386193477]",11.129258258258256,"Gran Via de Ferran el Catòlic, Extramurs, València","Camí de Penya-roja, Camins al Grau, València"
3202,"[39.45734670445597, -0.4070805861504331]","[39.52177004922981, -0.3855678815286831]",28.03820420420421,"Carrer dels Velluters, Patraix, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
3203,"[39.48876736937146, -0.40184967634760776]","[39.462513474470384, -0.3758932495284858]",12.687,"Carrer del Pare Barranco, Campanar, València","Carrer de Sueca, l'Eixample, València"
3204,"[39.496375283812114, -0.41701370379945235]","[39.483080296475734, -0.3899974380311789]",11.86211711711712,"Ronda Nord, Campanar, València","Carrer de Joaquim Ballester, Campanar, València"
3205,"[39.48650748833374, -0.3739119925997986]","[39.428109716165544, -0.3975038621025929]",32.39034834834833,"Carrer de Fra Pere Vives, la Saïdia, València","Calle del Doctor Fleming, Alfafar"
3206,"[39.47468603848351, -0.3861940205880234]","[39.41939617955964, -0.38817367912950107]",24.450954954954963,"Carrer de Borrull, Extramurs, València","Calle de Ramón y Cajal, Alfafar"
3207,"[39.45630189278762, -0.3795688513211948]","[39.46619981215602, -0.34737876992200456]",10.10670870870871,"Avinguda de Peris i Valero, l'Eixample, València","Carrer de l'Arquitecte Gascó, Camins al Grau, València"
3208,"[39.47917733456973, -0.39994064237504146]","[39.46860260365067, -0.3513766486579126]",17.65977777777778,"Carrer de Guadassuar, Campanar, València","Carrer de la Pobla de Farnals, Camins al Grau, València"
3209,"[39.487546957851784, -0.35931798920653646]","[39.45449816402854, -0.3722063061158646]",16.579612612612618,"Carrer del Músic Belando, Benimaclet, València","Carrer de Bèrnia, Quatre Carreres, València"
3210,"[39.51889367160328, -0.4201571589213445]","[39.51863602581276, -0.47393819336338183]",22.14703303303303,"Calle de Santo Domingo de Guzmán, Godella","Calle Ciudad de Barcelona, Paterna"
3211,"[39.45231972804563, -0.3369213581412886]","[39.470794720770314, -0.3450823189935378]",11.779534534534532,"Carrer de les Moreres, Quatre Carreres, València","Carrer de Josep d'Orga, Algirós, València"
3212,"[39.510676159234244, -0.4209669297799023]","[39.518680337269394, -0.4626243132763161]",20.10519219219219,"Avenida del Primero de Mayo, Burjassot","Calle Ciudad de Alcoy, Paterna"
3213,"[39.4823421862611, -0.3597493324683262]","[39.462575228537986, -0.4090386154942659]",18.53356156156155,"Plaça del Riu Duero, Benimaclet, València","Carrer dels Llanterners, Patraix, València"
3214,"[39.495061791603945, -0.3698526371950551]","[39.45965183157766, -0.33470544130994073]",19.05824924924925,"Carrer del Pare Viñas, Rascanya, València","Carrer de Vidal de Blanes, Poblats Marítims, València"
3215,"[39.478065424177586, -0.39104388239128374]","[39.420994950121354, -0.39154249698983806]",25.16354054054055,"Pont de les Glòries Valencianes, Campanar, València","Calle del Maestro Serrano, Alfafar"
3216,"[39.42212902337455, -0.3896413051490984]","[39.50002785155895, -0.4195129310022061]",35.33939339339341,"Calle de Isaac Peral, Alfafar","Carrer de l'Enginyer Aubán, Pobles de l'Oest, València"
3217,"[39.518488643825975, -0.47266890340804324]","[39.50729623861108, -0.4142377736745298]",25.799453453453463,"Calle Ciudad de Eibar, Paterna","Calle del Doctor Lleonart, Burjassot"
3218,"[39.528735491720106, -0.38487558674985933]","[39.467819254028925, -0.3678280699080187]",23.5871081081081,"Carrer de Losa del Obispo, Pobles del Nord, València","Gran Via del Marqués del Túria, l'Eixample, València"
3219,"[39.48847769898367, -0.36003237185870174]","[39.47064812357031, -0.38422628654248253]",11.548924924924926,"Carrer de Francesc Martínez, Benimaclet, València","Carrer d'Àngel Guimerà, Extramurs, València"
3220,"[39.50924101883143, -0.45139790683770603]","[39.51950738628387, -0.42022499135676705]",14.765954954954957,"Avenida de Vicente Mortes Alfonso, Paterna","Mestre Vicent Alonso, Godella"
3221,"[39.47850037704513, -0.3631210097610007]","[39.492830843796014, -0.39243040931334794]",11.86072672672673,"Avinguda de Blasco Ibáñez, el Pla del Real, València","Carrer d'Almiserà, Benicalap, València"
3222,"[39.493259066308106, -0.3975331297181106]","[39.44762264402125, -0.33089149631046144]",26.59047447447449,"Carrer de Barraix, Benicalap, València","Carrer de Jesús el Natzaré, Poblats Marítims, València"
3223,"[39.45965646592227, -0.3407424469298186]","[39.49228515116119, -0.3938177752073096]",19.33157957957957,"Avinguda de les Balears, Camins al Grau, València","Carrer de la Florista, Benicalap, València"
3224,"[39.46390454569073, -0.380662719226331]","[39.45969963981131, -0.41277145935286097]",11.983030030030031,"Gran Via de Ramón y Cajal, Extramurs, València","Carrer EP Sector dels Gremis B, Patraix, València"
3225,"[39.52910857835156, -0.38296456067934315]","[39.486290353472754, -0.40030831634152547]",20.251786786786788,"Carrer de la Venta del Moro, Pobles del Nord, València","Carrer del Pare Barranco, Campanar, València"
3226,"[39.46652127084929, -0.33332824658799526]","[39.46975094559112, -0.3847770627528059]",16.606906906906904,"Carrer de Francesc Baldomà, Poblats Marítims, València","Gran Via de Ferran el Catòlic, Extramurs, València"
3227,"[39.49750235918284, -0.34750392417790027]","[39.47856589916525, -0.36679037890610583]",23.515666666666668,"Passeig d'Aragó, Alboraia / Alboraya","Carrer del General Elío, el Pla del Real, València"
3228,"[39.528735491720106, -0.38487558674985933]","[39.487781612782236, -0.3915306299691088]",17.6747987987988,"Carrer de Losa del Obispo, Pobles del Nord, València","Avinguda del General Avilés, Campanar, València"
3229,"[39.47740412902657, -0.3583866098206761]","[39.47367513657505, -0.39191865936458786]",13.168474474474468,"Avinguda de Blasco Ibáñez, el Pla del Real, València","Carrer del Mestre Guerrero, Extramurs, València"
3230,"[39.46207644627318, -0.3679151343791528]","[39.49725256221984, -0.4194510544874338]",20.480318318318314,"Carrer de Canals, l'Eixample, València","Carrer de Mossén Cobos, Pobles de l'Oest, València"
3231,"[39.464355752670635, -0.3403729585568095]","[39.52570169226869, -0.3859630069633532]",28.81755555555556,"Carrer de Joan Baptista Perales, Camins al Grau, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
3232,"[39.468378566081455, -0.3482733574778245]","[39.50029445845267, -0.34711602186432244]",17.867399399399396,"Carrer de la Pobla de Farnals, Camins al Grau, València","Passeig d'Aragó, Alboraia / Alboraya"
3233,"[39.460732938192336, -0.3788241070731114]","[39.41319869934867, -0.3894439381251399]",20.35334834834835,"Carrer de les Filipines, l'Eixample, València",[Desconocido]
3234,"[39.48909230982326, -0.36232286447946943]","[39.52910857835156, -0.38296456067934315]",18.77408108108108,"Carrer de Viver, Rascanya, València","Carrer de la Venta del Moro, Pobles del Nord, València"
3235,"[39.471511510085065, -0.3440319963295681]","[39.461589898588386, -0.4018012449719639]",19.13932132132131,"Carrer del Poeta Duran i Tortajada, Algirós, València","Carrer d'Emili Lluch, Patraix, València"
3236,"[39.46700927167677, -0.3848508601658397]","[39.495244822514756, -0.36402086347801144]",14.937084084084084,"Carrer de l'Historiador Diago, Extramurs, València","Carrer de Sant Vicent de Paül, Rascanya, València"
3237,"[39.48799379259189, -0.3602777429769029]","[39.46277998285453, -0.3760535817482858]",11.08940840840841,"Carrer del Rector Zaragoza, Benimaclet, València","Carrer de Sueca, l'Eixample, València"
3238,"[39.44927016320101, -0.33358930176053686]","[39.49618706632511, -0.35290292377885435]",23.75183783783784,"Carrer de Dalt de la Mar, Poblats Marítims, València","Avenida de Ausias March, Alboraia / Alboraya"
3239,"[39.512723141308705, -0.46829901634748555]","[39.50324466121253, -0.4108985526660765]",25.610180180180183,"Calle Villa de Bilbao, Paterna","Avenida Virgen de la Cabeza, Burjassot"
3240,"[39.46293796881935, -0.46404350117516935]","[39.48948552491855, -0.4536676611734289]",51.42019819819821,"Carrer Mestre Adolfo Sáez, Aldaia","Calle del Montepío, Manises"
3241,"[39.44664109488254, -0.3366878289055526]","[39.46782512220075, -0.34528875138124077]",11.350942942942943,"Camí Vell de la Punta, Quatre Carreres, València","Carrer de l'Humanista Furió, Camins al Grau, València"
3242,"[39.470153032348, -0.40458176925081524]","[39.461110875291936, -0.3758206272100413]",10.404702702702702,"Carrer del Pintor Stolz, l'Olivereta, València","Carrer de Puerto Rico, l'Eixample, València"
3243,"[39.46670232623589, -0.3519021125437256]","[39.500543381478096, -0.4207500126180704]",26.532174174174177,"Carrer d'Abén Al-Abbar, Camins al Grau, València","Carrer de Benimodo, Pobles de l'Oest, València"
3244,"[39.45272909287617, -0.3348891279870005]","[39.455714382427004, -0.37807760123425754]",15.648021021021018,"la Punta, València","Carrer de Joaquín Benlloch, Quatre Carreres, València"
3245,"[39.45835427538407, -0.3614001033929572]","[39.449733140747554, -0.3969585182627564]",13.175723723723724,"Carrer de Godofred Ros, Quatre Carreres, València","Avinguda de les Tres Creus, Jesús, València"
3246,"[39.496142795996626, -0.3799578978275299]","[39.44769720127755, -0.39224623419605936]",20.60256456456457,"Carrer d'Ángel García Cardona (Cineasta), Rascanya, València","Bulevard Perifèric Sud, Jesús, València"
3247,"[39.45897273744856, -0.3725752792614527]","[39.49728307837237, -0.3902784495366785]",16.95542642642643,"Carrer dels Centelles, l'Eixample, València","Carrer de Manuel Melià i Fuster (Don Pío), Benicalap, València"
3248,"[39.51563464539821, -0.41517243721802116]","[39.512460974650324, -0.44819559250991736]",15.055477477477476,"Calle Virgen de los Desamparados, Burjassot","Calle Coeters, Paterna"
3249,"[39.51089963574772, -0.46294133096677326]","[39.50947684891858, -0.41905572455473744]",21.232108108108108,"Calle Islas Baleares, Paterna","Avinguda Vicent Andrés Estellés, Burjassot"
3250,"[39.477088898000474, -0.37978978287669257]","[39.47644272904591, -0.35751475450791215]",10.667915915915918,"Carrer de Baix, Ciutat Vella, València","Avinguda de Blasco Ibáñez, el Pla del Real, València"
3251,"[39.486290353472754, -0.40030831634152547]","[39.47740412902657, -0.3583866098206761]",16.662546546546547,"Avinguda de les Corts Valencianes, Campanar, València","Avinguda de Blasco Ibáñez, el Pla del Real, València"
3252,"[39.473322311990216, -0.3917499994104395]","[39.51042866788474, -0.3677646096575627]",19.83046246246246,"Carrer de Joan Llorenç, Extramurs, València",[Desconocido]
3253,"[39.48577962654915, -0.46034320813630625]","[39.48242994943476, -0.46061498802653433]",36.326354354354365,"Carrer del Reverend Francisco Castelló Gil, Manises","Autovía del Este, Quart de Poblet"
3254,"[39.45358067010472, -0.38988032371960857]","[39.49708680212388, -0.4187729211119305]",19.34671171171171,"Carrer de Llanera de Ranes, Jesús, València","Carrer de Bétera, Pobles de l'Oest, València"
3255,"[39.52622965079055, -0.46795942503421445]","[39.5042710878203, -0.41655990538344695]",28.906618618618623,"Autovía del Mediterráneo, Paterna","Calle de Escalante, Burjassot"
3256,"[39.48269275917993, -0.3973066691964653]","[39.44960578758327, -0.3921702200593267]",13.413984984984989,"Plaça de l'Església, Campanar, València","Carrer de Paco Sanz, Jesús, València"
3257,"[39.46366435057018, -0.36560844858768415]","[39.46272708957957, -0.3972354298074817]",10.301555555555558,"Carrer de Joaquim Costa, l'Eixample, València","Carrer de Fontanars dels Alforins, Patraix, València"
3258,"[39.47481002688032, -0.37627799454277566]","[39.456533893604444, -0.40140602811872517]",13.43833033033033,"Carrer de la Tapineria, Ciutat Vella, València","Avinguda de les Tres Creus, Patraix, València"
3259,"[39.48668038795942, -0.4053362837095256]","[39.47053585123098, -0.3707369819466174]",14.197042042042035,"Avinguda de Pio Baroja, Campanar, València","Plaça dels Pinazo, Ciutat Vella, València"
3260,"[39.465765828872165, -0.3577630529769678]","[39.47156505989951, -0.4234357490535419]",20.02328828828829,"Carrer de l'Antiga Senda d'En Senent, el Pla del Real, València","V-30, Mislata"
3261,"[39.44645857432646, -0.39168836472280283]","[39.44734824887825, -0.33160703669789304]",19.80326726726728,"Carrer de l'Enginyer José Sirera, Jesús, València","Carrer del Castell de Pop, Poblats Marítims, València"
3262,"[39.45517906256073, -0.39958416510202305]","[39.47374696096664, -0.33609090006403963]",21.404189189189196,"Sant Isidre, València","Carrer de l'Actor Mauri, Poblats Marítims, València"
3263,"[39.461477296044606, -0.3975860653916374]","[39.474414008611, -0.3736113630642321]",12.104219219219216,"Plaça del Grup Parpalló, Patraix, València","Carrer de Sant Cristòfol, Ciutat Vella, València"
3264,"[39.4890926931225, -0.3930588762826185]","[39.45593616890379, -0.39858908197840187]",13.738714714714716,"Carrer dels Amics del Corpus, Benicalap, València","Safranar, València"
3265,"[39.44591384230993, -0.3723023487901118]","[39.46950531271542, -0.33024052547676463]",17.548672672672676,"Carrer d'Aarón Vidal López (Soldat), Quatre Carreres, València","Carrer de Josep Benlliure, Poblats Marítims, València"
3266,"[39.5040226533776, -0.42487513185117975]","[39.47688327997353, -0.3869462655361148]",17.815402402402402,"Avinguda de les Fires, Pobles de l'Oest, València","Carrer del Doctor Peset Cervera, Extramurs, València"
3267,"[39.44437115663224, -0.3333513231344301]","[39.48946797824735, -0.3772639793309563]",24.317864864864863,"Camí de la Punta a la Mar, Poblats Marítims, València","Camí de Montcada, la Saïdia, València"
3268,"[39.45533153471638, -0.39170828241885863]","[39.488629843415545, -0.38224182878092733]",13.60178978978979,"Carrer de Ramon de Perellós, Patraix, València","Carrer de Sant Pancraç, la Saïdia, València"
3269,"[39.47394405555376, -0.36008421089169756]","[39.497248354254346, -0.374381090243125]",10.510420420420422,"Carrer del Naturalista Rafael Cisternas, el Pla del Real, València","Torrefiel, València"
3270,"[39.498381229956564, -0.3899272206033578]","[39.46696945696871, -0.39813178488958806]",14.52217717717718,"Carrer de Manuel Melià i Fuster (Don Pío), Benicalap, València","Carrer del Músic Ayllón, l'Olivereta, València"
3271,"[39.49458289847783, -0.3993947834360655]","[39.47375623102841, -0.3453705232537697]",19.63319519519519,"Carrer del Doctor Nicasi Benlloch, Benicalap, València","Plaça d'Hondures, Algirós, València"
3272,"[39.462175269407695, -0.33580270511268995]","[39.50311609213096, -0.3556964250619127]",19.816918918918915,"Carrer de Josep Aguirre, Poblats Marítims, València","Camí Vell de Tavernes Blanques, Alboraia / Alboraya"
3273,"[39.48978208496571, -0.38321792384383857]","[39.46134170139654, -0.395586204536952]",13.079315315315318,"Avinguda Doctor Peset Aleixandre, la Saïdia, València","Carrer de Fontanars dels Alforins, Patraix, València"
3274,"[39.466469070989916, -0.35213831237481646]","[39.489803739115224, -0.38938811580921634]",14.783135135135137,"Avinguda del Port, Camins al Grau, València","Carrer de José Grollo, Benicalap, València"
3275,"[39.52461285987543, -0.3954367605192747]","[39.44759408853043, -0.3348568261701971]",36.29798498498497,"Camí dels Avenars, Pobles del Nord, València","Carrer de Bernabé García, Poblats Marítims, València"
3276,"[39.48294455058567, -0.3714715625501782]","[39.46549406917719, -0.32763124128258664]",15.537123123123132,"Carrer del Convent dels Carmelites, la Saïdia, València","Carrer de Benassal, Poblats Marítims, València"
3277,"[39.45900848379656, -0.36511393302671474]","[39.48293204729706, -0.37158784482585605]",11.2382012012012,"Avinguda d'Amado Granell Mesado (Militar), Quatre Carreres, València","Carrer d'Almassora, la Saïdia, València"
3278,"[39.451928079159906, -0.3336290938869745]","[39.49027564953763, -0.3856852006827491]",25.00071771771773,"Carrer Major de Natzaret, Poblats Marítims, València","Carrer del General Llorens, Benicalap, València"
3279,"[39.49916700163958, -0.3482344123002566]","[39.47982085875867, -0.3617724247419693]",22.516930930930933,"Carrer de Colom, Alboraia / Alboraya","Avinguda de Menéndez y Pelayo, el Pla del Real, València"
3280,"[39.46197066755947, -0.36137539528682755]","[39.51072914599138, -0.351293148836444]",23.66782882882883,"Carrer de Lluís Oliag, Quatre Carreres, València",[Desconocido]
3281,"[39.478011260267785, -0.40285449990199684]","[39.47382737986521, -0.363175701762757]",12.697192192192194,"Carrer de Vicente Rios Enrique, Campanar, València","Carrer d'Amadeu de Savoia, el Pla del Real, València"
3282,"[39.51675244130934, -0.46521398458525137]","[39.5244176743444, -0.41961122903247045]",19.860591591591596,"Calle Villa de Madrid, Paterna","Carrer Pujada de l'Ermita, Godella"
3283,"[39.50041732567621, -0.4206782528616117]","[39.524518932136175, -0.39098981843170344]",26.33393093093093,"Carrer de Benimodo, Pobles de l'Oest, València","Camí de Borbotó a Massarrojos, Pobles del Nord, València"
3284,"[39.4249603044491, -0.3977414277631702]","[39.495416676374504, -0.4228637891546526]",38.18481081081083,"Calle de Cervantes, Benetússer","Ronda Nord, Campanar, València"
3285,"[39.47049426284981, -0.33213858854671247]","[39.446644171701806, -0.3964872226869314]",21.992405405405403,"Carrer del Poble Nou de la Mar, Poblats Marítims, València","Camí Vell de Picassent, Jesús, València"
3286,"[39.397891777774596, -0.404620228371073]","[39.43615250098513, -0.42272617260759376]",18.01910810810812,"Calle de Hernández Lázaro, Albal","Anell Verd Metropolità València. Tram 3, Picanya"
3287,"[39.46840048162504, -0.38500376628289046]","[39.466183660923896, -0.3331241781942545]",16.10001801801802,"Carrer de Conca, Extramurs, València","Carrer de Francesc Baldomà, Poblats Marítims, València"
3288,"[39.50242342377902, -0.38710544800099456]","[39.50145898017736, -0.4230898782381037]",18.777072072072077,"Camino Viejo de Godella, Pobles del Nord, València","Carrer de Joaquín Marín, Pobles de l'Oest, València"
3289,"[39.48226654024234, -0.3961955265874279]","[39.46091773610614, -0.3669785387355507]",12.590888888888886,"Carrer del Bisbe Soler, Campanar, València","Avinguda de Peris i Valero, l'Eixample, València"
3290,"[39.47463104516834, -0.3619735896085119]","[39.478307844341636, -0.41516226914417786]",19.040564564564576,"Exposició, València","Avinguda de Buenos Aires, Mislata"
3291,"[39.48425203395003, -0.3914094548532787]","[39.45833927812623, -0.3784701984556159]",12.5496996996997,"Avinguda de Campanar, Campanar, València","Plaça de Demetrio Ribes, l'Eixample, València"
3292,"[39.45603539626461, -0.3829562552830136]","[39.481632713542595, -0.36837401738805214]",14.010453453453447,"Carrer de Millars, Jesús, València","Carrer del Pintor Vilar, la Saïdia, València"
3293,"[39.46773029148358, -0.38336448152641905]","[39.48802905114912, -0.3978529739322068]",10.146276276276271,"Gran Via de Ramón y Cajal, Extramurs, València","Avinguda de les Corts Valencianes, Campanar, València"
3294,"[39.50373747250106, -0.41855470329156635]","[39.474663221659846, -0.3672283145313562]",21.51764264264265,"Carrer de Santigo Lope, Pobles de l'Oest, València","Circuit 5K Jardí del Túria, el Pla del Real, València"
3295,"[39.46672524883019, -0.3359336570796659]","[39.49531560872242, -0.39907818857588984]",21.73052252252252,"Carrer del Pintor Ferrer Calatayud, Algirós, València","Carrer de les Alqueries de Bellver, Benicalap, València"
3296,"[39.494099377354736, -0.3809997744081264]","[39.470987353068, -0.4142742974077577]",15.271123123123123,"Carrer de Manuela Ballester (pintora), Benicalap, València","Carrer de Mariano Benlliure, Mislata"
3297,"[39.45684722133387, -0.4023163469582243]","[39.49787115596286, -0.3886735899963636]",18.427489489489503,"Carrer d'Enric Taulet (Notari i Acadèmic), Patraix, València","Camí de les Barraques de Lluna, Benicalap, València"
3298,"[39.44810504310105, -0.37645537820530045]","[39.46844981311719, -0.32975958414213363]",16.804069069069072,"Carrer de Vicent Miguel Carceller (Periodista), Quatre Carreres, València","Carrer del Pare Lluís Navarro, Poblats Marítims, València"
3299,"[39.47963099242912, -0.41424107270980826]","[39.42765760379965, -0.3900438826594842]",28.24904804804803,"Parque Fluvial del Turia, Mislata","Carrer d'Alacant, Sedaví"
3300,"[39.47854317246314, -0.3659702212059756]","[39.51995113604313, -0.3813748379210004]",18.818099099099094,"Carrer del General Elío, el Pla del Real, València","Camí Vell de Carpesa a Borbotó, Pobles del Nord, València"
3301,"[39.47415566202105, -0.3670420711169471]","[39.481045097505415, -0.3933742314245568]",10.773747747747748,"Circuit 5K Jardí del Túria, Ciutat Vella, València","Carrer de la Vall de la Ballestera, Campanar, València"
3302,"[39.462668196938225, -0.38360417059738644]","[39.489806495988375, -0.3983281111034727]",11.037612612612616,"Passatge de Ventura Feliu, Extramurs, València","Avinguda de les Corts Valencianes, Benicalap, València"
3303,"[39.45792067613192, -0.38198195286575765]","[39.50450436799507, -0.4219009101972269]",20.787192192192197,"Carrer de Sant Vicent Màrtir, Extramurs, València","Carrer de Cullera, Pobles de l'Oest, València"
3304,"[39.52197438377909, -0.46031155584228867]","[39.51189314967071, -0.4178416962338431]",20.84308708708709,"Carrer de l'Algepser, Paterna","Calle del Pintor Sorolla, Burjassot"
3305,"[39.473322311990216, -0.3917499994104395]","[39.45116474423173, -0.376678223364978]",11.480084084084089,"Carrer de Joan Llorenç, Extramurs, València","Carrer de Bernat Descoll, Quatre Carreres, València"
3306,"[39.48193268234869, -0.38804651332390583]","[39.44810504310105, -0.37645537820530045]",15.562975975975975,"Avinguda de Menéndez Pidal, Campanar, València","Carrer de Vicent Miguel Carceller (Periodista), Quatre Carreres, València"
3307,"[39.45231972804563, -0.3369213581412886]","[39.46661858188884, -0.3646887840036426]",12.76912912912913,"Carrer de les Moreres, Quatre Carreres, València","Carrer de Salamanca, l'Eixample, València"
3308,"[39.4895051165778, -0.36333505719393816]","[39.44636747924305, -0.39246221350026644]",20.027744744744744,"Carrer de Vinaròs, Rascanya, València","Carrer de Pius IX, Jesús, València"
3309,"[39.47429880462275, -0.39632384564769435]","[39.46385630544063, -0.3417566162900892]",17.923990990990994,"Carrer de la Democràcia, l'Olivereta, València","Carrer de José Aguilar, Camins al Grau, València"
3310,"[39.52052760344113, -0.387615329474106]","[39.50434801493239, -0.3473866952426246]",31.802144144144144,"Camí de Benifaraig a Montcada, Pobles del Nord, València","Travesía del Padre Luis Navarro, Alboraia / Alboraya"
3311,"[39.45747809610056, -0.37678964613353916]","[39.47074153660004, -0.3371770310757456]",13.039867867867873,"Russafa, València","Carrer de Josep Ballester, Poblats Marítims, València"
3312,"[39.45411371914026, -0.36691364087868555]","[39.46716765449121, -0.3375938839611933]",11.690903903903909,"Carrer de l'Actriu Pepita Serrador, Quatre Carreres, València","Carrer de José María Haro (Magistrat), Algirós, València"
3313,"[39.45518965156289, -0.3985112855259999]","[39.492830843796014, -0.39243040931334794]",16.559963963963963,"Carrer de la Borrasca, Patraix, València","Carrer d'Almiserà, Benicalap, València"
3314,"[39.46745808688608, -0.39228905728535046]","[39.51298147489228, -0.3666661317326016]",22.28481681681682,"Avinguda del Cid, l'Olivereta, València",[Desconocido]
3315,"[39.45517042723843, -0.379250149125699]","[39.497488737943975, -0.3844297624409788]",18.66317117117117,"Avinguda de Peris i Valero, Quatre Carreres, València","Avinguda dels Germans Machado, Benicalap, València"
3316,"[39.514019791734235, -0.465604572686942]","[39.50439552139929, -0.4132829959511123]",25.56693693693694,"Calle Villa de Bilbao, Paterna","Autovía del Turia, Burjassot"
3317,"[39.47184221661932, -0.3329391315295974]","[39.46478274474638, -0.3774607661578659]",15.985444444444443,"Carrer de Vicent Ballester, Poblats Marítims, València","Carrer d'Alacant, l'Eixample, València"
3318,"[39.46107856570416, -0.4091111339703011]","[39.486639434533735, -0.39035245924279677]",11.64051351351351,"Carrer dels Llanterners, Patraix, València","Avinguda de Campanar, Campanar, València"
3319,"[39.459248026806314, -0.3562361288006361]","[39.46529575955172, -0.388996450886837]",12.000486486486489,"Avinguda del Professor López Piñero (Historiador de la Medicina), Quatre Carreres, València","Avinguda de Pérez Galdós, Patraix, València"
3320,"[39.47616173393835, -0.34415411711827615]","[39.47982371687404, -0.3937212338120825]",16.552684684684692,"Camí del Cabanyal, Algirós, València","Avinguda de Campanar, Campanar, València"
3321,"[39.50100377919798, -0.4183905808832153]","[39.45558322356975, -0.39960530578107606]",20.95784384384385,"Carrer de Crisóstom Martínez, Pobles de l'Oest, València","Carrer de la Borrasca, Patraix, València"
3322,"[39.47256229438904, -0.3389019590900288]","[39.46568138828758, -0.384876900207462]",15.415456456456456,"Carrer del Serpis, Algirós, València","Carrer del Marqués de Zenete, Extramurs, València"
3323,"[39.517835882185814, -0.41166391340381303]","[39.51745003658772, -0.4640488756918365]",21.34715015015015,"Calle Santísima Trinidad, Godella","Calle Ciudad de Alcoy, Paterna"
3324,"[39.49342566490516, -0.3706035282484768]","[39.498769162540796, -0.35135969415669066]",21.41875975975976,"Carrer d'Agustín Lara, Rascanya, València","Calle de José de Ribera, Alboraia / Alboraya"
3325,"[39.44919557288478, -0.34471194947360534]","[39.502782625551916, -0.4191860060565577]",30.69672972972973,"Avinguda de Jesús Morante Borràs, Quatre Carreres, València","Carrer del Mestre Alberto Luz, Pobles de l'Oest, València"
3326,"[39.49133294640786, -0.34986083507475985]","[39.451234685444895, -0.3735178491786743]",26.34988888888889,"Vía Xurra, Alboraia / Alboraya","Carrer de Juan Ramón Jiménez, Quatre Carreres, València"
3327,"[39.47494402918454, -0.34554666923214716]","[39.47810396297689, -0.42360320761223397]",24.74051351351352,"Plaça d'Hondures, Algirós, València","Carrer de Pizarro, Mislata"
3328,"[39.47883347371652, -0.36591803036818027]","[39.44587104367758, -0.39009015511173867]",16.57244444444444,"Carrer del General Elío, el Pla del Real, València","Carrer de Sant Marcel·lí, Jesús, València"
3329,"[39.45989056185741, -0.3711223846245884]","[39.48698504182922, -0.3936578845364158]",14.54463663663663,"Carrer dels Centelles, l'Eixample, València","Avinguda del General Avilés, Benicalap, València"
3330,"[39.50211478502682, -0.4217960529718707]","[39.47164411577861, -0.3920479090203371]",15.363927927927932,"Carrer del Campament, Pobles de l'Oest, València","Carrer del Literat Gabriel Miró, Extramurs, València"
3331,"[39.511166474295436, -0.4141995017887048]","[39.50307629454208, -0.4441124080585561]",15.797696696696695,"Carrer de Pablo Iglesias, Burjassot","Carrer Bonaire, Paterna"
3332,"[39.487781612782236, -0.3915306299691088]","[39.49999118213299, -0.3558239733651129]",25.70508108108108,"Avinguda del General Avilés, Campanar, València","Carrer de Francisco Ramos I Rioja, Alboraia / Alboraya"
3333,"[39.482867960219835, -0.37114528936718794]","[39.444619498898405, -0.321297072526865]",22.09726726726726,"Carrer del Convent dels Carmelites, la Saïdia, València","el Grau, València"
3334,"[39.48621535383808, -0.37407726275933423]","[39.47472345776986, -0.33159254375333036]",12.912498498498495,"Carrer del Filòleg Sanelo, la Saïdia, València","Carrer de Pere Maça, Poblats Marítims, València"
3335,"[39.42765760379965, -0.3900438826594842]","[39.45379182826704, -0.36752581866652834]",17.491954954954952,"Carrer d'Alacant, Sedaví","Carrer de l'Actriu Pepita Serrador, Quatre Carreres, València"
3336,"[39.49349581263962, -0.3884196128742192]","[39.46527211089486, -0.3968053603006376]",12.141720720720722,"Carrer del Poeta Serrano Clavero, Benicalap, València","Carrer d'Antonio Ballester Vilaseca Tonico (escultor), l'Olivereta, València"
3337,"[39.44644606733218, -0.3322970918199825]","[39.49837927089074, -0.35221882913565583]",25.672819819819825,"Carrer de Santa Pola, Poblats Marítims, València","Avinguda del Diví Mestre, Alboraia / Alboraya"
3338,"[39.49739386749239, -0.37697609348739786]","[39.442917416343114, -0.3980527642402164]",24.18046546546548,"Carrer del Comte de Torrefiel, Rascanya, València","Camí Vell de Picassent, Jesús, València"
3339,"[39.46107856570416, -0.4091111339703011]","[39.477686928577555, -0.38573094716984846]",10.516978978978978,"Carrer dels Llanterners, Patraix, València","Carrer del Doctor Peset Cervera, Extramurs, València"
3340,"[39.46696945696871, -0.39813178488958806]","[39.49823946708699, -0.36920517652212226]",17.617297297297295,"Carrer del Músic Ayllón, l'Olivereta, València","els Orriols, València"
