Coordenadas_inicio,Coordenadas_fin
"[39.3979229690769, -0.40666353961869384]","[39.528514365341394, -0.3847411907144211]"
"[39.51883415790663, -0.4145218922290585]","[39.39688091713051, -0.39425381924746966]"
"[39.399077744392315, -0.4072002565943866]","[39.53110719123404, -0.3440165885846898]"
"[39.52362310060864, -0.3488167276343979]","[39.40218418240248, -0.4033568155122907]"
"[39.426735177181904, -0.46510490729417886]","[39.53104444351681, -0.35182588328801817]"
"[39.44217756160574, -0.32264748781482]","[39.548129058723056, -0.3996528960850416]"
"[39.39891211959817, -0.40232496642662946]","[39.545112718040414, -0.3979566627507253]"
"[39.39597612402351, -0.40626034020532653]","[39.547281574091386, -0.39506047200760114]"
"[39.442491304613014, -0.3401501496549496]","[39.51076041169734, -0.4708982094286424]"
"[39.53143258901457, -0.35471645745707586]","[39.402657090313916, -0.391010232042067]"
"[39.39891211959817, -0.40232496642662946]","[39.52544339081541, -0.3945857364224703]"
"[39.52051298840666, -0.46308032982417113]","[39.44866711833474, -0.32684591695190074]"
"[39.549037662824716, -0.398279770441734]","[39.41952224761583, -0.38866489684916256]"
"[39.539705002870214, -0.4043117814072038]","[39.40160105738219, -0.40735626531972485]"
"[39.517388017124595, -0.46825392650765757]","[39.399885219072665, -0.39678627038024467]"
"[39.455496681443364, -0.47172089294742975]","[39.531147462885144, -0.3478850281633355]"
"[39.432229259469956, -0.46661130707332316]","[39.54001040389249, -0.3902841419994586]"
"[39.55746414566028, -0.40140952057024337]","[39.39916220006564, -0.4029669334657253]"
"[39.54478329518825, -0.3902447512466038]","[39.39597612402351, -0.40626034020532653]"
"[39.52100162203842, -0.4675547098964698]","[39.45300151214677, -0.33072825507746795]"
"[39.55746414566028, -0.40140952057024337]","[39.42345585054675, -0.42737336288649697]"
"[39.52962429859181, -0.35513870605249537]","[39.4356126286363, -0.4694289654655505]"
"[39.528514365341394, -0.3847411907144211]","[39.40249143566821, -0.39937790569950965]"
"[39.4454872949243, -0.3361114289551844]","[39.52051298840666, -0.46308032982417113]"
"[39.40342526561843, -0.4036847422445982]","[39.54326752038719, -0.4013651780655947]"
"[39.427848213402996, -0.4303682277326754]","[39.53278899517425, -0.34680496640454417]"
"[39.44760180718458, -0.3335234457523857]","[39.517388017124595, -0.46825392650765757]"
"[39.54875902806461, -0.3949984182526597]","[39.424012886802075, -0.3914450647810589]"
"[39.54913087557153, -0.3914815355177425]","[39.43827779121957, -0.4709801289577436]"
"[39.54257019661765, -0.3968386820809661]","[39.43154086749556, -0.4769828439502539]"
"[39.52660857944947, -0.353319219198111]","[39.43349146694814, -0.46990883350784396]"
"[39.52330987771335, -0.4638275550299545]","[39.404390940213624, -0.3986020768113077]"
"[39.40290943194442, -0.40502345615098523]","[39.522645383201144, -0.34955365273514655]"
"[39.39977048809533, -0.406575148478769]","[39.519888908741045, -0.4281656645431635]"
"[39.52789848876493, -0.3560634872261434]","[39.43554138957863, -0.4657423065972868]"
"[39.39953880578661, -0.40146428191343697]","[39.539705002870214, -0.4043117814072038]"
"[39.42317885056456, -0.4016938265574159]","[39.54641885846181, -0.3944601992732235]"
"[39.51717786297128, -0.4711776890038121]","[39.40212464660424, -0.40698680227185263]"
"[39.51999039571137, -0.46890746981704634]","[39.446364582793066, -0.3362207855819058]"
"[39.5207085901697, -0.41185569764109636]","[39.39891211959817, -0.40232496642662946]"
"[39.52626862406036, -0.3938023964832484]","[39.399077744392315, -0.4072002565943866]"
"[39.5294977727314, -0.35122198676932465]","[39.432115746797756, -0.4691338246330556]"
"[39.401263634533315, -0.40272463590476726]","[39.547446498321264, -0.39763071199641037]"
"[39.54877550393352, -0.39730087546064446]","[39.432115746797756, -0.4691338246330556]"
"[39.51588169002356, -0.468672449139379]","[39.44884476634532, -0.33566752826220064]"
"[39.424624724790284, -0.41810185857593735]","[39.547446498321264, -0.39763071199641037]"
"[39.396500443920964, -0.4006288298772595]","[39.54268572175751, -0.400079706881878]"
"[39.54773417454856, -0.39687111738527414]","[39.44009597702771, -0.47362365264767775]"
"[39.52226346569409, -0.4140007189485266]","[39.399444498956335, -0.39754856354449997]"
"[39.54515572204451, -0.3896018829988403]","[39.420413931834794, -0.3962506892380156]"
"[39.446364582793066, -0.3362207855819058]","[39.51481938841191, -0.4641684242480446]"
"[39.402800912544706, -0.40299962284936386]","[39.52241570573696, -0.34902450784213873]"
"[39.436360587826336, -0.4747341182270032]","[39.543667772454995, -0.38995003922675386]"
"[39.446191141998774, -0.3343945276882842]","[39.51100482073613, -0.4658199882974526]"
"[39.42764673015196, -0.42772069723055484]","[39.546157148751874, -0.39278299045722537]"
"[39.52961695955305, -0.3465806118726396]","[39.39868047246373, -0.4015309084072121]"
"[39.548129058723056, -0.3996528960850416]","[39.432229259469956, -0.46661130707332316]"
"[39.437044371823774, -0.474384449171685]","[39.52689965762625, -0.35130804165786145]"
"[39.5441935849698, -0.3959282057174765]","[39.404041046421774, -0.40787143755884325]"
"[39.40253307400566, -0.3970027485744539]","[39.54890043763588, -0.39820783897955153]"
"[39.52689965762625, -0.35130804165786145]","[39.433316381901925, -0.46953528132260997]"
"[39.52099261332988, -0.3826935499109691]","[39.40244959958471, -0.4119765346741123]"
"[39.442981076441036, -0.47536673073559776]","[39.532169746917106, -0.3533941884762618]"
"[39.54531312548228, -0.3918513015486752]","[39.40718190607405, -0.4019132380903986]"
"[39.53628879364195, -0.3558784889546412]","[39.40212464660424, -0.40698680227185263]"
"[39.51266867984651, -0.4754635543228815]","[39.40107646279137, -0.4050829927637215]"
"[39.434508224802144, -0.4752898986559559]","[39.54569346910904, -0.39280514913393055]"
"[39.440743224304526, -0.4728540118691351]","[39.524523853970365, -0.3471393919952513]"
"[39.55027423345744, -0.39533168668226815]","[39.4277162611991, -0.4197827884195438]"
"[39.5131503137363, -0.46910521001154065]","[39.39863098323907, -0.39815601425468466]"
"[39.54478329518825, -0.3902447512466038]","[39.418112565832686, -0.3884036423783392]"
"[39.516482498459204, -0.46791668048357943]","[39.40040390171685, -0.4035653388540452]"
"[39.40414523841486, -0.39757358153734546]","[39.53359386874004, -0.3824534533606579]"
"[39.42018061161157, -0.42813995906980445]","[39.53833178318189, -0.3853166812781537]"
"[39.40957299779509, -0.4030496844188387]","[39.545112718040414, -0.3979566627507253]"
"[39.415682649980624, -0.3890848270005051]","[39.52292990476331, -0.459063940465615]"
"[39.425686421821105, -0.4253229453294765]","[39.532169746917106, -0.3533941884762618]"
"[39.41625274753387, -0.3912168965027662]","[39.54725597669203, -0.40076435797516347]"
"[39.416231915310355, -0.3909342651088997]","[39.54001040389249, -0.3902841419994586]"
"[39.52524010828795, -0.4617588530339786]","[39.44914093671034, -0.33532684805897256]"
"[39.413781138955684, -0.3911937504574964]","[39.543667772454995, -0.38995003922675386]"
"[39.43476597832316, -0.46891196657964684]","[39.52771265286643, -0.34241117898122914]"
"[39.52048710093618, -0.3433793896700873]","[39.40123026754632, -0.40418089229623017]"
"[39.551063958023086, -0.3957120664116806]","[39.40253307400566, -0.3970027485744539]"
"[39.54478329518825, -0.3902447512466038]","[39.42279961783144, -0.43240754670956266]"
"[39.524599115376624, -0.3830470954930994]","[39.402800912544706, -0.40299962284936386]"
"[39.52345405536801, -0.42193777498091384]","[39.39533056170972, -0.39576036027534084]"
"[39.439895787668604, -0.33710979325428253]","[39.510359522196495, -0.4661128730548668]"
"[39.54190421012771, -0.38780011585165153]","[39.39891211959817, -0.40232496642662946]"
"[39.51493586092905, -0.4661140590464231]","[39.40135531757874, -0.4073631021913566]"
"[39.41604721448717, -0.3967298010053194]","[39.55027423345744, -0.39533168668226815]"
"[39.40455602856859, -0.4011873949178396]","[39.52048710093618, -0.3433793896700873]"
"[39.539705002870214, -0.4043117814072038]","[39.40107646279137, -0.4050829927637215]"
"[39.42022078015398, -0.39112079274419526]","[39.548129058723056, -0.3996528960850416]"
"[39.39597612402351, -0.40626034020532653]","[39.5266957894957, -0.37628000863500904]"
"[39.54515572204451, -0.3896018829988403]","[39.400321564470154, -0.4110027778282725]"
"[39.51874927380421, -0.34111312080169287]","[39.405477835821145, -0.40485813981888097]"
"[39.52686610631602, -0.3526669864614221]","[39.40160105738219, -0.40735626531972485]"
"[39.43052807143307, -0.423837349134327]","[39.54910683111174, -0.39265537846292453]"
"[39.52226346569409, -0.4140007189485266]","[39.39755168220085, -0.407190382856656]"
"[39.551063958023086, -0.3957120664116806]","[39.431618983838085, -0.46858519268496135]"
"[39.40320961206286, -0.39447511716937844]","[39.54569346910904, -0.39280514913393055]"
"[39.39786918438939, -0.40394795125271277]","[39.540235592879256, -0.39238185507436407]"
"[39.5034602611687, -0.33900502902962465]","[39.431284914290465, -0.4771996974786686]"
"[39.42213873719337, -0.42480564606297794]","[39.53110719123404, -0.3440165885846898]"
"[39.40718190607405, -0.4019132380903986]","[39.54250646439395, -0.40219560197896204]"
"[39.440082495276556, -0.33583171534195594]","[39.52049894353239, -0.4614882767816685]"
"[39.406139097460674, -0.41237320358561264]","[39.52206452581992, -0.4621291160219042]"
"[39.5131503137363, -0.46910521001154065]","[39.44980842544018, -0.3304397147428729]"
"[39.397606529485465, -0.3969846860744717]","[39.549346912339786, -0.39573031267186615]"
"[39.426942873042485, -0.4328188207593924]","[39.54569346910904, -0.39280514913393055]"
"[39.4532591879247, -0.3378093937819958]","[39.521178730639036, -0.4691900204096147]"
"[39.40098728860476, -0.4053794870889823]","[39.524523853970365, -0.3471393919952513]"
"[39.549037662824716, -0.398279770441734]","[39.41952224761583, -0.38866489684916256]"
"[39.528847820157125, -0.3489069076160588]","[39.406139097460674, -0.41237320358561264]"
"[39.51266867984651, -0.4754635543228815]","[39.400420466948844, -0.40232756927091806]"
"[39.40684048557018, -0.41112129542678116]","[39.54190421012771, -0.38780011585165153]"
"[39.39986011794258, -0.3987493085356811]","[39.52056922979915, -0.46727801344150566]"
"[39.44217756160574, -0.32264748781482]","[39.527408418748934, -0.4649085488318755]"
"[39.426696700463644, -0.47164677946987665]","[39.52879349965638, -0.37665423200011255]"
"[39.4340235455306, -0.46516576182591896]","[39.53424131780824, -0.3466200044369047]"
"[39.543648632648036, -0.39756039107291097]","[39.41879784614459, -0.39368127166650474]"
"[39.40957299779509, -0.4030496844188387]","[39.52485200754664, -0.35187360898003656]"
"[39.517388017124595, -0.46825392650765757]","[39.44324409028434, -0.3297992781768407]"
"[39.401263634533315, -0.40272463590476726]","[39.52907069435053, -0.3559209505868975]"
"[39.42193552326333, -0.3926976421017053]","[39.551063958023086, -0.3957120664116806]"
"[39.52970843576125, -0.34684085337276566]","[39.44353863242286, -0.4703100969439444]"
"[39.5418585059942, -0.3977141759375267]","[39.39587589176299, -0.41192610391632256]"
"[39.52569187022962, -0.38111525638798655]","[39.39986011794258, -0.3987493085356811]"
"[39.52382540352109, -0.4672983347190616]","[39.40212464660424, -0.40698680227185263]"
"[39.54773417454856, -0.39687111738527414]","[39.422026654913594, -0.38983179628764053]"
"[39.54890043763588, -0.39820783897955153]","[39.42438436951662, -0.39879464555395894]"
"[39.551063958023086, -0.3957120664116806]","[39.42802573070274, -0.4638802357708295]"
"[39.53104444351681, -0.35182588328801817]","[39.410081569129204, -0.4011926035056124]"
"[39.4293075316985, -0.4223367218876282]","[39.54875902806461, -0.3949984182526597]"
"[39.403677671007486, -0.40289797594253496]","[39.54684965838798, -0.3998484681596978]"
"[39.427848213402996, -0.4303682277326754]","[39.54877550393352, -0.39730087546064446]"
"[39.52347101907996, -0.3880336248319973]","[39.40290943194442, -0.40502345615098523]"
"[39.522724906174126, -0.4243192218431504]","[39.40212464660424, -0.40698680227185263]"
"[39.51916788227692, -0.3840753573151306]","[39.39863098323907, -0.39815601425468466]"
"[39.43014842176515, -0.42988278732102164]","[39.547281574091386, -0.39506047200760114]"
"[39.521027817646214, -0.34731351887607265]","[39.436046672306446, -0.46972700112010185]"
"[39.53681295082609, -0.34529173468790375]","[39.42781671864677, -0.4228500400722683]"
"[39.39916220006564, -0.4029669334657253]","[39.54817687535043, -0.3966659608649792]"
"[39.51983660863516, -0.45852551597611896]","[39.40040390171685, -0.4035653388540452]"
"[39.52555860868315, -0.3841415910935676]","[39.39486950058906, -0.4090277365563346]"
"[39.43696949561621, -0.465312916486308]","[39.54877550393352, -0.39730087546064446]"
"[39.40320961206286, -0.39447511716937844]","[39.51267889552536, -0.46918959057223575]"
"[39.4059887219061, -0.4060320725565165]","[39.53067741742397, -0.34602528893601137]"
"[39.54684965838798, -0.3998484681596978]","[39.41885284600347, -0.39569522495893356]"
"[39.39755168220085, -0.407190382856656]","[39.51076041169734, -0.4708982094286424]"
"[39.42911130318863, -0.4347895156151842]","[39.54750866336105, -0.394716967544779]"
"[39.51307814747062, -0.3656115444231659]","[39.39880153954059, -0.413397507971333]"
"[39.40040390171685, -0.4035653388540452]","[39.51266867984651, -0.4754635543228815]"
"[39.54773417454856, -0.39687111738527414]","[39.40135531757874, -0.4073631021913566]"
"[39.54302027797666, -0.40524881241806215]","[39.42769118653595, -0.47025047285498384]"
"[39.43552688260674, -0.4643486981564347]","[39.53424131780824, -0.3466200044369047]"
"[39.418533464926156, -0.39481719668870996]","[39.55746414566028, -0.40140952057024337]"
"[39.43034892100758, -0.48138478574295895]","[39.45949193781465, -0.3288583337309426]"
"[39.545780131190234, -0.39695383774313814]","[39.43449747007856, -0.46662186909892767]"
"[39.513570846102134, -0.36176956032531715]","[39.430471753760926, -0.47644624624889265]"
"[39.414625710853905, -0.39298336643759485]","[39.53542876633856, -0.3920810360029342]"
"[39.419582886302244, -0.39146995152342035]","[39.54875902806461, -0.3949984182526597]"
"[39.43732045258265, -0.47261183344317464]","[39.53257258877801, -0.3549837946988927]"
"[39.51486213841434, -0.46778218163029006]","[39.46247079969724, -0.32614627719237205]"
"[39.53257258877801, -0.3549837946988927]","[39.43034892100758, -0.48138478574295895]"
"[39.52238402400335, -0.34534522127015976]","[39.435929604440915, -0.4655129630417539]"
"[39.42555546354461, -0.4744160208246085]","[39.52793324636352, -0.37872362629310763]"
"[39.448103198943286, -0.32949727924880545]","[39.521178730639036, -0.4691900204096147]"
"[39.42345585054675, -0.42737336288649697]","[39.53118287360636, -0.3485815360947845]"
"[39.52811938301254, -0.3545427399378661]","[39.400321564470154, -0.4110027778282725]"
"[39.395897844997684, -0.39982226106287605]","[39.52956887166188, -0.39292408017944563]"
"[39.52956887166188, -0.39292408017944563]","[39.406646145118906, -0.4013479878475601]"
"[39.40098728860476, -0.4053794870889823]","[39.51999596163875, -0.340187077127603]"
"[39.52049894353239, -0.4614882767816685]","[39.39953880578661, -0.40146428191343697]"
"[39.52793324636352, -0.37872362629310763]","[39.432521514775054, -0.47491878438567964]"
"[39.5081980308451, -0.46427825126969896]","[39.44324409028434, -0.3297992781768407]"
"[39.42781671864677, -0.4228500400722683]","[39.549037662824716, -0.398279770441734]"
"[39.529890290655416, -0.3446547085328336]","[39.404390940213624, -0.3986020768113077]"
"[39.44762181296855, -0.33799553615772193]","[39.51762712429841, -0.46881839719781887]"
"[39.51999596163875, -0.340187077127603]","[39.434375509882976, -0.4651391311247572]"
"[39.40135531757874, -0.4073631021913566]","[39.51493586092905, -0.4661140590464231]"
"[39.52680512912844, -0.3467317371777321]","[39.40140843734119, -0.405155049348559]"
"[39.47271749044873, -0.3322375340742584]","[39.43034892100758, -0.48138478574295895]"
"[39.42417028106229, -0.38782675956032076]","[39.55429015975586, -0.40144970301834493]"
"[39.5517023772746, -0.39394431688251935]","[39.43112695686707, -0.42296708498044566]"
"[39.454971166893586, -0.33460994378109643]","[39.52591129642573, -0.4621581271411613]"
"[39.545112718040414, -0.3979566627507253]","[39.415809293229394, -0.39179310278609597]"
"[39.42244225142531, -0.4204531346019247]","[39.54691400247709, -0.403706016128022]"
"[39.54460051715165, -0.3973219379026097]","[39.39878589321014, -0.40068709614696385]"
"[39.543167702825365, -0.3932065556140217]","[39.40244610750699, -0.4065950884143955]"
"[39.546157148751874, -0.39278299045722537]","[39.40419064645798, -0.4072015680247323]"
"[39.529890290655416, -0.3446547085328336]","[39.43064631186484, -0.47297222363635044]"
"[39.51759158073415, -0.4729373923558666]","[39.44774527375863, -0.3419271278466342]"
"[39.52958181778179, -0.38949623847251497]","[39.426696700463644, -0.47164677946987665]"
"[39.43076406597057, -0.4749425326921693]","[39.533179468521745, -0.356714361630021]"
"[39.525215324648656, -0.3526880017178849]","[39.40767080505502, -0.4006112165919905]"
"[39.496265693507276, -0.3448652086910169]","[39.43410340333957, -0.478409289053137]"
"[39.437571116401514, -0.47371230834810685]","[39.53118287360636, -0.3485815360947845]"
"[39.45490053171153, -0.47020751528932003]","[39.53424131780824, -0.3466200044369047]"
"[39.41780654357451, -0.3913932247292057]","[39.54574467422274, -0.39461374413564443]"
"[39.520890824303244, -0.4586199337981806]","[39.406139097460674, -0.41237320358561264]"
"[39.40718190607405, -0.4019132380903986]","[39.52879349965638, -0.37665423200011255]"
"[39.53212165007393, -0.38663784093138115]","[39.400321564470154, -0.4110027778282725]"
"[39.54773417454856, -0.39687111738527414]","[39.43692972222276, -0.46542535673212554]"
"[39.399885219072665, -0.39678627038024467]","[39.50814480550928, -0.4680799832092559]"
"[39.515960419950346, -0.46241233394911774]","[39.44583582571517, -0.33128529435178583]"
"[39.51878173242929, -0.4659674727099253]","[39.39486950058906, -0.4090277365563346]"
"[39.5441935849698, -0.3959282057174765]","[39.42288050841533, -0.394451102936673]"
"[39.542272877980295, -0.39434672838779017]","[39.41667662033915, -0.3967576480048302]"
"[39.406360958551204, -0.4070618833126017]","[39.51874927380421, -0.34111312080169287]"
"[39.399444498956335, -0.39754856354449997]","[39.53090645507136, -0.35245559596912]"
"[39.50408074303734, -0.34373078317496364]","[39.43732045258265, -0.47261183344317464]"
"[39.42073316083538, -0.39822949069005414]","[39.549037662824716, -0.398279770441734]"
"[39.446191141998774, -0.3343945276882842]","[39.51481938841191, -0.4641684242480446]"
"[39.46829058218639, -0.3288935215667949]","[39.5171287577463, -0.47313660803330215]"
"[39.40627407163574, -0.4045397683821774]","[39.54673196958613, -0.39662815355660974]"
"[39.55099714553373, -0.39237705738338685]","[39.42655715347418, -0.42311496097788576]"
"[39.54355574582898, -0.39539546968864797]","[39.411005335981336, -0.39751742268067375]"
"[39.40107646279137, -0.4050829927637215]","[39.530265621561284, -0.35417798586977806]"
"[39.400420466948844, -0.40232756927091806]","[39.53963356433503, -0.3399760922312]"
"[39.51493586092905, -0.4661140590464231]","[39.40218418240248, -0.4033568155122907]"
"[39.401263634533315, -0.40272463590476726]","[39.52750186579703, -0.3479470090045223]"
"[39.42894555049979, -0.429242652765526]","[39.55099714553373, -0.39237705738338685]"
"[39.52220991301255, -0.4683848349341491]","[39.39786918438939, -0.40394795125271277]"
"[39.526670626741826, -0.35409754587553777]","[39.43353201077304, -0.4654854893752616]"
"[39.43495809618032, -0.47089970954610333]","[39.52761309401589, -0.352657390807691]"
"[39.5407373898964, -0.39951442818194655]","[39.404041046421774, -0.40787143755884325]"
"[39.4043379881495, -0.4123345922313536]","[39.54471561891034, -0.39835239514390286]"
"[39.517551432537914, -0.4658384226674696]","[39.449283173412354, -0.334902759545456]"
"[39.52100162203842, -0.4675547098964698]","[39.415682649980624, -0.3890848270005051]"
"[39.5081980308451, -0.46427825126969896]","[39.44956886299207, -0.3264078668402115]"
"[39.551063958023086, -0.3957120664116806]","[39.4340235455306, -0.46516576182591896]"
"[39.54257019661765, -0.3968386820809661]","[39.4282805367573, -0.4718480947944809]"
"[39.52987195513995, -0.38020101480943747]","[39.402657090313916, -0.391010232042067]"
"[39.55099714553373, -0.39237705738338685]","[39.44353863242286, -0.4703100969439444]"
"[39.426696700463644, -0.47164677946987665]","[39.53056062628028, -0.38214369133644893]"
"[39.42555546354461, -0.4744160208246085]","[39.530534814431284, -0.34494688320029504]"
"[39.399240740206544, -0.40122126517661105]","[39.54326752038719, -0.4013651780655947]"
"[39.41325411465148, -0.3922910164856192]","[39.54569346910904, -0.39280514913393055]"
"[39.52829719573668, -0.35095232361438855]","[39.42813528184649, -0.4772670877640448]"
"[39.54103781943176, -0.3990208252909187]","[39.431284914290465, -0.4771996974786686]"
"[39.43498192268241, -0.4787377584840876]","[39.54197749278253, -0.3962581615754833]"
"[39.51786609832055, -0.47557319877328336]","[39.40098728860476, -0.4053794870889823]"
"[39.40140843734119, -0.405155049348559]","[39.513890436718164, -0.46603629905805183]"
"[39.52275073496924, -0.34301648375593125]","[39.430471753760926, -0.47644624624889265]"
"[39.394314640129515, -0.4062900486490244]","[39.51113356825046, -0.36401383100379764]"
"[39.42718966264966, -0.3963678466145805]","[39.548129058723056, -0.3996528960850416]"
"[39.535282813006056, -0.40115335114849376]","[39.42793921796137, -0.4719766063130607]"
"[39.53147891115288, -0.3546070926893744]","[39.399460962918106, -0.40641561157875034]"
"[39.53246297306236, -0.35642978904413064]","[39.39863098323907, -0.39815601425468466]"
"[39.524599115376624, -0.3830470954930994]","[39.40123026754632, -0.40418089229623017]"
"[39.530265621561284, -0.35417798586977806]","[39.43590655014353, -0.4712043241372586]"
"[39.54355574582898, -0.39539546968864797]","[39.40718190607405, -0.4019132380903986]"
"[39.437044371823774, -0.474384449171685]","[39.53963356433503, -0.3399760922312]"
"[39.50053759869951, -0.34567965892855074]","[39.43178290390093, -0.4761134353912832]"
"[39.39939736595497, -0.40080678481972004]","[39.52789848876493, -0.3560634872261434]"
"[39.39460500414015, -0.4054884815638184]","[39.51285303066134, -0.36653810964657946]"
"[39.53681295082609, -0.34529173468790375]","[39.421851204487275, -0.39201351398703316]"
"[39.52961695955305, -0.3465806118726396]","[39.42793921796137, -0.4719766063130607]"
"[39.43569957144383, -0.46676423320749344]","[39.5238835408454, -0.3537625362807902]"
"[39.431618983838085, -0.46858519268496135]","[39.519715098651744, -0.3533028999716242]"
"[39.423877671457795, -0.4228754158866002]","[39.52771265286643, -0.34241117898122914]"
"[39.525194474611894, -0.41959205345245826]","[39.398568676264254, -0.39914261408134194]"
"[39.39916220006564, -0.4029669334657253]","[39.53067741742397, -0.34602528893601137]"
"[39.39587589176299, -0.41192610391632256]","[39.521431137844516, -0.41161873892954465]"
"[39.51784248543565, -0.3500846610356777]","[39.39891211959817, -0.40232496642662946]"
"[39.411005335981336, -0.39751742268067375]","[39.52829719573668, -0.35095232361438855]"
"[39.549346912339786, -0.39573031267186615]","[39.40455602856859, -0.4011873949178396]"
"[39.5401271481849, -0.39994629093878803]","[39.43466534382484, -0.47456925414463946]"
"[39.52641669809946, -0.35297043762060726]","[39.43287610799104, -0.46575230493332875]"
"[39.45466333329797, -0.3340439162518023]","[39.517453639874304, -0.46794131381637627]"
"[39.43712050330519, -0.46117345968214585]","[39.52829719573668, -0.35095232361438855]"
"[39.54569346910904, -0.39280514913393055]","[39.43498192268241, -0.4787377584840876]"
"[39.399240740206544, -0.40122126517661105]","[39.54641885846181, -0.3944601992732235]"
"[39.54190421012771, -0.38780011585165153]","[39.40098728860476, -0.4053794870889823]"
"[39.53760027857757, -0.35662344267285395]","[39.43409612164653, -0.4725844311631217]"
"[39.405477835821145, -0.40485813981888097]","[39.532169746917106, -0.3533941884762618]"
"[39.41912462700105, -0.38417351005005124]","[39.54875902806461, -0.3949984182526597]"
"[39.55028583031097, -0.3987587355712293]","[39.42532440841616, -0.4161737166452558]"
"[39.43415871227312, -0.4700990081200287]","[39.53681295082609, -0.34529173468790375]"
"[39.52199891363963, -0.35358539371807257]","[39.44138038755268, -0.4687266129885807]"
"[39.414625710853905, -0.39298336643759485]","[39.548379467960906, -0.38883222920281074]"
"[39.41066146992267, -0.40187494802893925]","[39.545112718040414, -0.3979566627507253]"
"[39.39540660018187, -0.39392877421608014]","[39.527806407820435, -0.38711286295939357]"
"[39.51393202539066, -0.46484142291683395]","[39.44583582571517, -0.33128529435178583]"
"[39.45300151214677, -0.33072825507746795]","[39.51953960310887, -0.4657029661399871]"
"[39.46124694133765, -0.3373671072403216]","[39.51786609832055, -0.47557319877328336]"
"[39.43034892100758, -0.48138478574295895]","[39.51048896463762, -0.3588508237855784]"
"[39.44718833864852, -0.34038558077449976]","[39.517453639874304, -0.46794131381637627]"
"[39.54582650649189, -0.3933965803087139]","[39.397606529485465, -0.3969846860744717]"
"[39.54478329518825, -0.3902447512466038]","[39.40684048557018, -0.41112129542678116]"
"[39.424325924650795, -0.4204254448033518]","[39.53173174195556, -0.3459920120124874]"
"[39.43253667771187, -0.46033292806525195]","[39.52811938301254, -0.3545427399378661]"
"[39.543932573973606, -0.39072757055803686]","[39.39880153954059, -0.413397507971333]"
"[39.54272312893839, -0.39336980904926167]","[39.421851204487275, -0.39201351398703316]"
"[39.524571036036626, -0.346914166001856]","[39.400321564470154, -0.4110027778282725]"
"[39.52238402400335, -0.34534522127015976]","[39.426735177181904, -0.46510490729417886]"
"[39.430471753760926, -0.47644624624889265]","[39.46019300424922, -0.32611604830901797]"
"[39.52745058716763, -0.352320888067887]","[39.43504722680584, -0.46422865462206014]"
"[39.403677671007486, -0.40289797594253496]","[39.524523853970365, -0.3471393919952513]"
"[39.55190649958408, -0.3979762473501503]","[39.42532440841616, -0.4161737166452558]"
"[39.399240740206544, -0.40122126517661105]","[39.527408418748934, -0.4649085488318755]"
"[39.40531638527994, -0.4019197013276876]","[39.53257258877801, -0.3549837946988927]"
"[39.39953880578661, -0.40146428191343697]","[39.52179216004395, -0.34953528798418837]"
"[39.54272312893839, -0.39336980904926167]","[39.42793921796137, -0.4719766063130607]"
"[39.54913087557153, -0.3914815355177425]","[39.420120843051244, -0.3857639236475197]"
"[39.51758397115561, -0.4127149064058631]","[39.397606529485465, -0.3969846860744717]"
"[39.52324911888373, -0.4167772187659234]","[39.397606529485465, -0.3969846860744717]"
"[39.40455602856859, -0.4011873949178396]","[39.53118287360636, -0.3485815360947845]"
"[39.548379467960906, -0.38883222920281074]","[39.444777957195726, -0.46952053540700717]"
"[39.50923995923925, -0.3613348884560317]","[39.42922369923734, -0.47747221627742326]"
"[39.39547356708542, -0.39725117203010546]","[39.529852617137394, -0.3871732500754896]"
"[39.43590655014353, -0.4712043241372586]","[39.525215324648656, -0.3526880017178849]"
"[39.40253307400566, -0.3970027485744539]","[39.52051298840666, -0.46308032982417113]"
"[39.51811291414021, -0.37790504759537497]","[39.399460962918106, -0.40641561157875034]"
"[39.52305107793668, -0.416041898318022]","[39.39755168220085, -0.407190382856656]"
"[39.52179216004395, -0.34953528798418837]","[39.43528014267745, -0.46695333650252974]"
"[39.52597554966445, -0.3430309635879496]","[39.440743224304526, -0.4728540118691351]"
"[39.444777957195726, -0.46952053540700717]","[39.52747233249378, -0.35287397190640074]"
"[39.46282122060339, -0.3200981271275704]","[39.51786609832055, -0.47557319877328336]"
"[39.40042737938735, -0.39467236529378147]","[39.54103781943176, -0.3990208252909187]"
"[39.52362310060864, -0.3488167276343979]","[39.437725010424856, -0.4660157434469571]"
"[39.40471367773695, -0.4016108439984623]","[39.54627492708467, -0.39346363455654965]"
"[39.40767080505502, -0.4006112165919905]","[39.53090645507136, -0.35245559596912]"
"[39.39587589176299, -0.41192610391632256]","[39.53104444351681, -0.35182588328801817]"
"[39.51608843696114, -0.36101988267215523]","[39.399460962918106, -0.40641561157875034]"
"[39.524523853970365, -0.3471393919952513]","[39.43076406597057, -0.4749425326921693]"
"[39.525215324648656, -0.3526880017178849]","[39.4289006755338, -0.4686255999196735]"
"[39.44191301368272, -0.3315855316156055]","[39.51266867984651, -0.4754635543228815]"
"[39.44009597702771, -0.47362365264767775]","[39.52485200754664, -0.35187360898003656]"
"[39.418112565832686, -0.3884036423783392]","[39.549346912339786, -0.39573031267186615]"
"[39.55028583031097, -0.3987587355712293]","[39.40471367773695, -0.4016108439984623]"
